id,points_of_interest
00000000,155
01101101,6
01101102,2
01102103,3
01102104,4
01103106,1
01103107,1
01103108,8
01104110,8
01104111,1
01104112,1
01105113,4
01105114,4
01106117,2
01107120,3
01108122,1
01108124,1
01108125,2
01111128,3
01111129,8
01112130,10
01114132,2
01114133,1
01115134,3
01116136,12
01116137,18
01120141,1
02201203,39
02201204,9
02201205,6
02201206,2
02202207,1
02203210,3
02204211,4
02204212,3
02204213,12
02204214,2
02205215,1
02205216,5
02206218,11
02207219,4
02208220,9
02209221,16
02210222,2
02211223,16
02211224,1
02212225,1
02213226,3
02214227,4
03301301,1
03301303,18
03301305,5
03301306,3
03301308,3
03301309,4
03301310,5
03302311,3
03302312,2
03303313,12
03303314,2
03304315,3
03304316,1
03305317,11
03306318,34
03307319,4
03308320,5
03309321,13
04401401,8
04402403,135
04402404,17
04404407,11
04405409,5
04405410,1
04405411,5
04405412,1
04405413,4
04406414,9
04406415,8
04407416,2
04407417,1
04408418,1
04408421,2
04408422,2
04408423,2
04409424,3
04409425,4
04410426,5
04410427,14
04410428,8
04410429,4
04411430,4
04412431,8
04413432,14
05501501,3
05501504,2
05502505,4
05502507,6
05502508,4
05502509,4
05503510,13
05503511,1
05504512,4
05506514,7
05507515,23
05508516,1
05509517,5
05510518,8
05511519,19
05512520,6
05514522,3
05516524,1
05517525,15
05518526,13
06601601,2
06602602,11
06602603,3
06603604,3
06604605,1
06606607,3
06614615,2
07701701,9
07701702,33
07704705,2
07707708,1
07709710,5
07710711,4
07713714,2
07714715,14
07716717,1
